,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
65060,white pine,14,0,Alive,Poor,None,None,No,No,No,BK42,40.64665569,-73.96602608
65177,black pine,6,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76954028,-73.84358029
69370,red pine,5,0,Alive,Good,None,None,No,No,No,SI08,40.61577704,-74.1028612
70576,white pine,6,0,Alive,Good,None,None,No,No,No,QN46,40.77504057,-73.77594714
71075,pitch pine,13,0,Alive,Good,None,None,No,No,No,BK37,40.6714038,-73.97331537
72253,red pine,23,0,Alive,Good,None,None,No,No,No,QN37,40.72369171,-73.8270901
72914,Scots pine,17,0,Alive,Good,None,None,No,No,No,QN53,40.69502358,-73.86163215
73478,pine,3,0,Alive,Good,None,None,No,No,No,QN51,40.76762225,-73.80871424
73726,black pine,12,0,Alive,Fair,None,None,No,No,No,BK50,40.63701484,-73.90852018
74061,pine,18,0,Alive,Good,None,None,No,No,No,QN07,40.70396572,-73.75951783
76433,white pine,17,0,Alive,Good,None,None,No,No,No,BX06,40.86604659,-73.88236606
78058,white pine,4,0,Alive,Good,None,None,No,No,No,QN10,40.57352494,-73.85392598
78360,pitch pine,30,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN56,40.6786163,-73.8603675
78366,pine,2,0,Alive,Good,None,None,No,No,No,QN10,40.57417703,-73.85233067
78794,white pine,16,0,Alive,Good,None,None,No,No,No,BK42,40.64659838,-73.9666013
79258,pine,4,0,Alive,Good,None,None,No,No,No,QN51,40.76857474,-73.81442684
81174,red pine,2,0,Alive,Good,TrunkOtherBranchOther,TrunkOtherBranchOther,No,No,No,SI24,40.60799857,-74.10052871
82407,white pine,15,0,Alive,Good,None,None,No,No,No,BK42,40.64627973,-73.96940145
82763,white pine,19,0,Alive,Good,None,None,No,No,No,QN61,40.71244843,-73.77070983
85163,red pine,8,0,Alive,Good,None,None,No,No,No,BK45,40.62000922,-73.90751013
