,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
287339,white pine,6,0,Alive,Good,None,None,No,No,No,BX52,40.828517,-73.82207693
287466,white pine,14,0,Alive,Good,None,None,No,No,No,SI32,40.54648193,-74.19964937
288950,pine,8,0,Alive,Poor,TrunkOther,TrunkOther,No,No,No,QN48,40.76188569,-73.78883125
290110,white pine,3,0,Alive,Good,None,None,No,No,No,BK58,40.62556693,-73.92663303
290276,white pine,8,0,Alive,Good,None,None,No,No,No,QN48,40.76509793,-73.79383743
290514,red pine,8,0,Alive,Good,None,None,No,No,No,SI11,40.50251298,-74.23712221
290661,red pine,4,0,Alive,Good,None,None,No,No,No,QN72,40.77252536,-73.88915875
290996,red pine,7,0,Alive,Good,RootOtherBranchLights,RootOtherBranchLights,No,No,Yes,QN50,40.73620764,-73.8969741
291747,pine,4,0,Alive,Good,None,None,No,No,No,QN47,40.77567464,-73.78640169
293953,pine,23,0,Alive,Good,None,None,No,No,No,SI54,40.54898229,-74.14786925
294176,white pine,19,0,Alive,Good,None,None,No,No,No,BK46,40.61489812,-73.96655587
296009,pine,12,0,Alive,Good,None,None,No,No,No,BK83,40.68711563,-73.86820999
297579,white pine,1,0,Alive,Good,WiresRopeBranchLights,WiresRopeBranchLights,No,No,No,QN51,40.76564945,-73.80319998
297659,pine,2,0,Alive,Good,None,None,No,No,No,QN76,40.67326435,-73.80026258
298775,pitch pine,3,0,Alive,Good,None,None,No,No,No,BK76,40.72605329,-73.94966029
298821,Virginia pine,2,0,Alive,Poor,None,None,No,No,No,MN28,40.72554689,-73.97874137
298937,red pine,12,0,Alive,Good,None,None,No,No,No,BX07,40.86173998,-73.86183541
299375,pine,3,0,Alive,Good,None,None,No,No,No,BK61,40.67307106,-73.92844139
299387,pine,8,0,Alive,Good,None,None,No,No,No,QN51,40.77200593,-73.80307016
299905,Scots pine,17,0,Alive,Good,None,None,No,No,No,QN53,40.69501858,-73.86165352
308788,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.75990361,-73.72050887
310924,pine,2,0,Alive,Good,None,None,No,No,No,QN08,40.69038436,-73.77741763
312599,white pine,9,0,Alive,Good,None,None,No,No,No,SI32,40.54693627,-74.19948904
312860,white pine,30,0,Alive,Good,None,None,No,No,No,SI07,40.62189733,-74.12626148
313038,Virginia pine,3,0,Alive,Good,None,None,No,No,No,QN44,40.74203625,-73.71584779
313383,black pine,8,0,Alive,Fair,None,None,No,No,No,QN23,40.76957989,-73.84423818
317485,red pine,28,0,Alive,Good,BranchOther,BranchOther,No,No,No,QN51,40.76721082,-73.79745095
317716,pine,10,0,Alive,Good,None,None,No,No,No,QN52,40.75453376,-73.81049422
317895,white pine,9,0,Alive,Good,None,None,No,No,No,BK42,40.6468269,-73.96442216
319308,pine,17,0,Alive,Good,None,None,No,No,No,BX37,40.84997256,-73.84877093
319868,pine,7,0,Alive,Good,None,None,No,No,No,QN55,40.66701348,-73.80641898
320076,white pine,14,0,Alive,Good,None,None,No,No,No,SI48,40.53796411,-74.19457327
320614,pine,12,0,Alive,Good,None,None,No,No,No,QN49,40.79717302,-73.82011865
321246,white pine,6,0,Alive,Good,None,None,No,No,No,SI01,40.52849989,-74.17570564
323678,pine,4,0,Alive,Good,None,None,No,No,No,QN51,40.76287464,-73.80981361
323758,red pine,10,0,Alive,Good,None,None,No,No,No,QN27,40.76938327,-73.87529285
324805,pine,16,0,Alive,Good,None,None,No,No,No,QN49,40.7962918,-73.82283868
325076,white pine,14,0,Alive,Good,None,None,No,No,No,SI48,40.55018234,-74.19865431
325551,pine,24,0,Alive,Good,Stones,Stones,Yes,No,No,QN06,40.71870929,-73.76605135
325867,white pine,6,0,Alive,Good,None,None,No,No,No,QN62,40.74794647,-73.81962402
327865,white pine,6,0,Alive,Poor,None,None,No,No,No,SI32,40.54648761,-74.19962531
329550,pine,4,0,Alive,Good,None,None,No,No,No,BX59,40.82321826,-73.85467533
330470,red pine,3,0,Alive,Good,None,None,No,No,No,SI05,40.59988382,-74.13586208
331161,Virginia pine,3,0,Alive,Good,None,None,No,No,No,QN20,40.70452999,-73.90346963
331391,pine,8,0,Alive,Good,None,None,No,No,No,QN66,40.67562176,-73.75451073
335460,red pine,29,0,Alive,Good,Stones,Stones,Yes,No,No,BK31,40.62418588,-74.02313445
335467,white pine,10,0,Alive,Good,None,None,No,No,No,SI32,40.54770824,-74.19988294
335890,white pine,14,0,Alive,Good,None,None,No,No,No,SI25,40.56466865,-74.13065608
336815,pine,18,0,Alive,Good,None,None,No,No,No,BK83,40.68718586,-73.86822659
336885,pine,10,0,Alive,Fair,None,None,No,No,No,QN66,40.67513841,-73.74635072
337033,pine,3,0,Alive,Good,None,None,No,No,No,QN72,40.77093699,-73.8965017
338603,pine,7,0,Alive,Good,None,None,No,No,No,BK83,40.68488924,-73.87236678
338823,red pine,18,0,Alive,Good,None,None,No,No,No,BX07,40.86181077,-73.86183317
339212,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.75948142,-73.72040874
339280,red pine,3,0,Alive,Fair,None,None,No,No,No,BK78,40.69275756,-73.92138798
345755,pine,12,0,Alive,Good,None,None,No,No,No,SI48,40.53728948,-74.19412934
346569,red pine,15,0,Alive,Good,None,None,No,No,No,BX07,40.86179376,-73.86183371
347074,pine,19,0,Alive,Poor,None,None,No,No,No,SI22,40.64143376,-74.09254457
347411,pine,3,0,Alive,Good,None,None,No,No,No,QN35,40.71212925,-73.80930772
347632,red pine,4,0,Alive,Good,None,None,No,No,No,BK82,40.66259563,-73.87738087
349012,black pine,5,0,Alive,Fair,None,None,No,No,No,QN23,40.76959328,-73.84446059
350228,white pine,16,0,Alive,Good,None,None,No,No,No,SI35,40.63104315,-74.09189138
354713,pine,14,0,Alive,Good,Stones,Stones,Yes,No,No,QN45,40.77685196,-73.7529766
355812,white pine,15,0,Alive,Poor,None,None,No,No,No,BK42,40.64666609,-73.9659363
355957,pine,3,0,Alive,Poor,Stones,Stones,Yes,No,No,BK82,40.67564884,-73.89113164
356529,pine,21,0,Alive,Good,None,None,No,No,No,QN45,40.77098376,-73.74052534
357893,pine,3,0,Alive,Good,None,None,No,No,No,QN49,40.79242351,-73.8104544
358460,white pine,25,0,Alive,Good,None,None,No,No,No,SI45,40.57562333,-74.11759564
359224,pine,3,0,Alive,Fair,None,None,No,No,No,QN37,40.71813934,-73.80915019
360057,pine,10,0,Alive,Fair,None,None,No,No,No,QN10,40.57235905,-73.8587919
360988,pine,4,0,Alive,Good,None,None,No,No,No,QN37,40.71811684,-73.80923844
362032,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.5744773,-73.85159911
362249,white pine,6,0,Alive,Poor,TrunkOther,TrunkOther,No,No,No,QN45,40.77270867,-73.74243603
362251,Scots pine,28,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,QN23,40.79171237,-73.84353115
363262,white pine,13,0,Alive,Good,None,None,No,No,No,BK45,40.61430134,-73.93261206
363508,pitch pine,10,0,Alive,Good,None,None,No,No,No,MN04,40.82256332,-73.94904695
364599,white pine,15,0,Alive,Fair,TrunkOtherBranchOther,TrunkOtherBranchOther,No,No,No,QN18,40.72784133,-73.86664015
364835,pine,4,0,Alive,Poor,None,None,No,No,No,QN45,40.75330901,-73.73741074
364992,pine,4,0,Alive,Poor,None,None,No,No,No,BK82,40.66552407,-73.89028594
367043,white pine,17,0,Alive,Good,None,None,No,No,No,QN43,40.73167031,-73.7336995
367821,pine,10,0,Alive,Good,None,None,No,No,No,QN41,40.74092672,-73.77916109
368982,pine,0,0,Alive,Good,None,None,No,No,No,SI11,40.52167351,-74.21452238
373388,pitch pine,22,0,Alive,Good,None,None,No,No,No,QN44,40.74350695,-73.7169977
373460,pine,21,0,Alive,Good,None,None,No,No,No,SI35,40.63526941,-74.09010852
375840,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.57480649,-73.85079605
376826,pine,1,0,Alive,Good,None,None,No,No,No,BK60,40.65863734,-73.93495846
378874,red pine,13,0,Alive,Good,None,None,No,No,No,SI48,40.54472049,-74.18937619
379620,white pine,14,0,Alive,Good,BranchLights,BranchLights,No,No,No,SI25,40.56769038,-74.13197459
380692,pine,2,0,Alive,Good,None,None,No,No,No,QN10,40.57413241,-73.85243898
382245,pine,30,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN45,40.77050016,-73.74139475
382505,pine,5,0,Alive,Good,StonesWiresRopeBranchLights,StonesWiresRopeBranchLights,Yes,No,No,BK81,40.65932465,-73.91193623
382944,red pine,8,0,Alive,Good,None,None,No,No,No,BK83,40.68041972,-73.87333343
383769,white pine,7,0,Alive,Good,None,None,No,No,No,SI32,40.54651901,-74.19960791
383984,pitch pine,3,0,Alive,Good,None,None,No,No,No,QN43,40.74055322,-73.73351818
385345,white pine,6,0,Alive,Good,None,None,No,No,No,QN08,40.68912964,-73.75353411
387014,pine,4,0,Alive,Good,None,None,No,No,No,QN47,40.77566049,-73.78645024
388504,pine,7,0,Alive,Good,None,None,No,No,No,QN55,40.66699923,-73.8060442
390655,pine,7,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN53,40.69785404,-73.85119382
392399,pine,3,0,Alive,Good,None,None,No,No,No,QN50,40.73565078,-73.90415065
394721,pine,11,0,Alive,Fair,None,None,No,No,No,BK43,40.62644362,-73.95044376
395444,black pine,32,0,Alive,Good,None,None,No,No,No,BK37,40.6797463,-73.97511704
396289,Scots pine,3,0,Alive,Good,None,None,No,No,No,SI25,40.57355633,-74.13153949
396831,pine,9,0,Alive,Good,WiresRopeTrunkLightsBranchLights,WiresRopeTrunkLightsBranchLights,No,No,No,QN57,40.66914897,-73.85340935
400188,pine,9,0,Alive,Fair,None,None,No,No,No,QN66,40.6749202,-73.74648591
400438,black pine,10,0,Alive,Good,None,None,No,No,No,QN35,40.71065815,-73.8040434
403112,pine,11,0,Alive,Good,None,None,No,No,No,QN08,40.69647497,-73.76904329
403543,white pine,5,0,Alive,Fair,None,None,No,No,No,QN29,40.72896501,-73.8817594
404952,white pine,4,0,Alive,Good,WiresRopeBranchLights,WiresRopeBranchLights,No,No,No,QN51,40.76559266,-73.80320777
408378,white pine,3,0,Alive,Good,None,None,No,No,No,QN46,40.7616268,-73.77611419
408827,white pine,29,0,Alive,Good,Stones,Stones,Yes,No,No,QN45,40.7702411,-73.74224743
410564,Scots pine,8,0,Alive,Fair,None,None,No,No,No,QN03,40.66647669,-73.78226198
411066,pine,6,0,Alive,Good,None,None,No,No,No,QN66,40.67773702,-73.73953383
411363,pine,3,0,Alive,Good,None,None,No,No,No,BK88,40.63948345,-73.99116618
411421,red pine,8,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,QN62,40.74102536,-73.81928311
414312,pine,2,0,Alive,Good,None,None,No,No,No,QN52,40.75343734,-73.81670944
414695,pine,7,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN50,40.73829918,-73.8919313
417455,white pine,7,0,Alive,Good,None,None,No,No,No,QN46,40.77506424,-73.77586164
417930,pine,3,0,Alive,Good,None,None,No,No,No,SI32,40.53935152,-74.2129654
418040,pitch pine,29,0,Alive,Good,Stones,Stones,Yes,No,No,BK68,40.68777494,-73.97003605
419493,black pine,7,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN10,40.57093697,-73.86202418
421885,red pine,4,0,Alive,Good,None,None,No,No,No,BK82,40.66344045,-73.87800899
422094,white pine,13,0,Alive,Good,None,None,No,No,No,QN54,40.70194603,-73.83673251
423140,black pine,27,0,Alive,Fair,StonesBranchOther,StonesBranchOther,Yes,No,No,BK37,40.67950356,-73.97528376
425243,pitch pine,19,0,Alive,Good,BranchLightsBranchOther,BranchLightsBranchOther,No,No,No,BK58,40.61797431,-73.92104607
425276,pine,15,0,Alive,Poor,None,None,No,No,No,QN46,40.77152862,-73.78715521
427357,pine,2,0,Alive,Good,None,None,No,No,No,SI25,40.5606746,-74.11822029
427624,white pine,23,0,Alive,Good,None,None,No,No,No,SI25,40.56459027,-74.13064918
427837,white pine,2,0,Alive,Good,None,None,No,No,No,QN28,40.76382867,-73.87901796
429335,red pine,4,0,Alive,Good,None,None,No,No,No,QN31,40.72354232,-73.91367027
429447,pine,24,0,Alive,Good,None,None,No,No,No,QN06,40.71924089,-73.76511873
429471,white pine,13,0,Alive,Good,WiresRope,WiresRope,No,No,No,QN45,40.76604017,-73.73356835
430572,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.75984419,-73.72049478
433620,pine,1,0,Alive,Good,None,None,No,No,No,QN06,40.71706109,-73.78140641
433989,white pine,26,0,Alive,Good,None,None,No,No,No,QN45,40.77256132,-73.74199785
435224,pine,49,0,Alive,Good,None,None,No,No,No,QN45,40.7706249,-73.74017641
435584,black pine,5,0,Alive,Good,None,None,No,No,No,BX26,40.8336472,-73.93076593
435683,pine,15,0,Alive,Good,None,None,No,No,No,QN03,40.65947136,-73.76042824
435687,pine,14,0,Alive,Good,Stones,Stones,Yes,No,No,QN66,40.6728397,-73.74848812
435735,pine,6,0,Alive,Fair,None,None,No,No,No,QN45,40.75328394,-73.73769106
435773,pine,11,0,Alive,Good,None,None,No,No,No,QN35,40.71418551,-73.79982528
436385,black pine,5,0,Alive,Fair,None,None,No,No,No,QN23,40.76958873,-73.84438501
436597,pine,12,0,Alive,Fair,None,None,No,No,No,QN66,40.66752666,-73.74156893
437712,pitch pine,11,0,Alive,Good,None,None,No,No,No,MN09,40.81022769,-73.95549738
439054,white pine,7,0,Alive,Fair,None,None,No,No,No,QN49,40.79580561,-73.81317603
439692,red pine,11,0,Alive,Good,None,None,No,No,No,SI32,40.53019082,-74.20605559
440046,pitch pine,21,0,Alive,Good,Stones,Stones,Yes,No,No,BX59,40.82310269,-73.8509895
440810,pine,10,0,Alive,Good,None,None,No,No,No,QN48,40.76207494,-73.78649448
441461,Virginia pine,10,0,Alive,Good,Stones,Stones,Yes,No,No,MN22,40.72411245,-73.98505556
441555,white pine,8,0,Alive,Good,None,None,No,No,No,QN17,40.71135024,-73.844899
441717,pine,17,0,Alive,Good,None,None,No,No,No,SI36,40.59845967,-74.08731103
443036,pine,12,0,Alive,Good,None,None,No,No,No,QN46,40.76858804,-73.77892051
443778,pine,1,0,Alive,Good,None,None,No,No,No,SI07,40.61118985,-74.13677796
444247,black pine,9,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN20,40.70532941,-73.89326236
444402,pine,2,0,Alive,Good,None,None,No,No,No,BK82,40.67390893,-73.87276929
448434,white pine,12,0,Alive,Good,WiresRopeBranchLights,WiresRopeBranchLights,No,No,No,BK50,40.64436495,-73.90269311
449612,red pine,11,0,Alive,Good,RootOtherTrunkOther,RootOtherTrunkOther,No,No,Yes,BK58,40.62925674,-73.94138993
449720,pine,6,0,Alive,Good,None,None,No,No,No,BK42,40.63232027,-73.96291157
450334,pine,12,0,Alive,Good,None,None,No,No,No,QN56,40.67520188,-73.84961549
450659,pine,12,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,QN49,40.79995655,-73.82008129
452558,pine,4,0,Alive,Fair,None,None,No,No,No,QN55,40.66701199,-73.80637974
452778,white pine,19,0,Alive,Good,None,None,No,No,No,SI32,40.53910804,-74.20995524
453146,white pine,12,0,Alive,Good,None,None,No,No,No,QN66,40.6714172,-73.75211469
455879,pine,4,0,Alive,Fair,None,None,No,No,No,BK58,40.62957951,-73.94183213
456252,pine,5,0,Alive,Fair,None,None,No,No,No,MN04,40.82501132,-73.9514422
456892,white pine,10,0,Alive,Good,None,None,No,No,No,QN15,40.59644885,-73.75651493
457037,pine,7,0,Alive,Good,None,None,No,No,No,QN03,40.66116779,-73.76302812
458614,white pine,13,0,Alive,Good,Stones,Stones,Yes,No,No,QN62,40.73972713,-73.82353692
459420,red pine,13,0,Alive,Fair,None,None,No,No,No,QN72,40.77073324,-73.8888298
459492,pine,21,0,Alive,Good,None,None,No,No,No,QN07,40.70394236,-73.75950728
462322,white pine,5,0,Alive,Good,None,None,No,No,No,QN29,40.72947241,-73.88023098
463712,pine,2,0,Alive,Good,None,None,No,No,No,BK88,40.63215713,-73.98748235
465131,red pine,20,0,Alive,Good,None,None,No,No,No,QN37,40.72345341,-73.82700633
465288,white pine,12,0,Alive,Good,TrunkOtherBranchLights,TrunkOtherBranchLights,No,No,No,BX37,40.84476668,-73.84992852
465400,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.57450113,-73.85154194
465569,Scots pine,4,0,Alive,Good,None,None,No,No,No,QN27,40.76252109,-73.87338198
465675,pine,2,0,Alive,Good,None,None,No,No,No,QN43,40.73713701,-73.71859678
465781,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.75978287,-73.72048023
466499,Scots pine,5,0,Alive,Good,None,None,No,No,No,QN49,40.79110721,-73.82805074
467010,white pine,9,0,Alive,Good,None,None,No,No,No,BK44,40.60493288,-73.94332658
468461,pine,2,0,Alive,Good,None,None,No,No,No,BK88,40.63171663,-73.99107974
469487,white pine,6,0,Alive,Good,None,None,No,No,No,QN62,40.74803015,-73.81985703
470883,pine,11,0,Alive,Fair,None,None,No,No,No,QN45,40.75326813,-73.73786673
471068,pine,10,0,Alive,Good,None,None,No,No,No,BK19,40.57484608,-73.95340001
471947,white pine,2,0,Alive,Good,None,None,No,No,No,SI54,40.53339423,-74.15257957
471999,pitch pine,4,0,Alive,Good,None,None,No,No,No,QN03,40.65982377,-73.75145134
472991,pine,2,0,Alive,Good,None,None,No,No,No,QN07,40.71660988,-73.76417203
473336,pine,17,0,Alive,Good,None,None,No,No,No,BK45,40.61426394,-73.91879021
474321,pine,6,0,Alive,Good,None,None,No,No,No,BK41,40.63840335,-73.97283077
476219,white pine,3,0,Alive,Good,None,None,No,No,No,QN48,40.76506735,-73.79384162
477336,Scots pine,3,0,Alive,Good,None,None,No,No,No,BX09,40.80992813,-73.85046549
477855,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.57415354,-73.85238767
477906,Virginia pine,6,0,Alive,Good,None,None,No,No,No,MN12,40.7863001,-73.9739903
478836,pine,13,0,Alive,Good,None,None,No,No,No,QN10,40.57095677,-73.85797956
479709,white pine,12,0,Alive,Good,None,None,No,No,No,BK43,40.61881134,-73.95112541
480656,red pine,19,0,Alive,Fair,None,None,No,No,No,QN42,40.7541113,-73.75108576
484244,Scots pine,1,0,Alive,Good,None,None,No,No,No,BK77,40.70239981,-73.91309169
485189,red pine,8,0,Alive,Good,None,None,No,No,No,SI32,40.53667549,-74.20730669
485489,black pine,4,0,Alive,Good,None,None,No,No,No,QN37,40.72447002,-73.81641039
486152,white pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.772719,-73.74241387
487085,pine,1,0,Alive,Good,None,None,No,No,No,QN35,40.71229221,-73.81523054
487796,pine,8,0,Alive,Good,None,None,No,No,No,BK83,40.6870697,-73.86819914
489827,white pine,10,0,Alive,Fair,None,None,No,No,No,QN66,40.67138462,-73.7520904
491423,red pine,7,0,Alive,Good,None,None,No,No,No,QN46,40.75362201,-73.76415666
491587,white pine,16,0,Alive,Good,None,None,No,No,No,SI14,40.60116201,-74.09272898
491722,pine,3,0,Alive,Good,None,None,No,No,No,QN46,40.75727501,-73.77511413
491874,white pine,17,0,Alive,Poor,None,None,No,No,No,BK46,40.61498104,-73.96685069
493289,pine,5,0,Alive,Good,None,None,No,No,No,BX44,40.87731019,-73.86687962
495105,white pine,9,0,Alive,Good,None,None,No,No,No,SI32,40.54758802,-74.19982159
497240,red pine,5,0,Alive,Good,None,None,No,No,No,QN52,40.76040371,-73.81138947
499047,red pine,13,0,Alive,Good,None,None,No,No,No,QN72,40.77069844,-73.88882349
499067,white pine,2,0,Alive,Good,None,None,No,No,No,QN49,40.79560914,-73.80305378
499083,pine,26,0,Alive,Good,None,None,No,No,No,BK45,40.61416439,-73.91867919
499605,white pine,5,0,Alive,Fair,None,None,No,No,No,BK83,40.67925712,-73.89897405
499628,black pine,8,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76947337,-73.84243511
499964,red pine,15,0,Alive,Good,None,None,No,No,No,QN43,40.73534411,-73.7250504
500567,white pine,12,0,Alive,Poor,StonesRootOtherBranchLights,StonesRootOtherBranchLights,Yes,No,Yes,QN62,40.74018295,-73.81131145
501122,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.57482521,-73.8507504
501211,pine,8,0,Alive,Good,None,None,No,No,No,BX59,40.82989828,-73.85468209
503045,pine,5,0,Alive,Good,None,None,No,No,No,QN55,40.66651324,-73.81913722
504964,black pine,15,0,Alive,Poor,None,None,No,No,No,QN46,40.76125227,-73.78398836
505240,white pine,10,0,Alive,Good,None,None,No,No,No,QN51,40.75880606,-73.79564171
506268,pine,5,0,Alive,Good,Stones,Stones,Yes,No,No,QN28,40.75309686,-73.89018557
507517,white pine,13,0,Alive,Good,None,None,No,No,No,QN45,40.76636404,-73.72999886
508867,pine,4,0,Alive,Good,None,None,No,No,No,QN15,40.59510812,-73.7510097
509687,pine,4,0,Alive,Poor,BranchOther,BranchOther,No,No,No,QN10,40.57256585,-73.86198108
509718,Scots pine,8,0,Alive,Poor,None,None,No,No,No,QN03,40.66650417,-73.78185119
511279,pine,6,0,Alive,Good,None,None,No,No,No,QN41,40.73177459,-73.78850953
512184,pine,22,0,Alive,Good,None,None,No,No,No,SI07,40.61705036,-74.13592615
512228,black pine,21,0,Alive,Good,Stones,Stones,Yes,No,No,SI05,40.60153283,-74.12522824
513946,Scots pine,2,0,Alive,Good,None,None,No,No,No,MN28,40.72551633,-73.97866876
514511,red pine,6,0,Alive,Good,None,None,No,No,No,QN46,40.75362542,-73.7641437
515201,pine,1,0,Alive,Good,None,None,No,No,No,BK60,40.65865786,-73.93496062
515920,red pine,7,0,Alive,Good,None,None,No,No,No,QN27,40.76947573,-73.87530951
516091,white pine,10,0,Alive,Good,None,None,No,No,No,BK82,40.67718193,-73.87481808
516276,white pine,7,0,Alive,Fair,None,None,No,No,No,BK93,40.64851958,-73.88707621
517370,pine,11,0,Alive,Good,None,None,No,No,No,QN35,40.71410675,-73.79970211
517725,pitch pine,11,0,Alive,Good,None,None,No,No,No,BX63,40.83090575,-73.92402903
520535,pitch pine,4,0,Alive,Good,None,None,No,No,No,BK73,40.71945371,-73.95450127
523212,pine,7,0,Alive,Good,None,None,No,No,No,QN15,40.59730941,-73.74126626
523915,white pine,17,0,Alive,Good,BranchLights,BranchLights,No,No,No,BX31,40.86112283,-73.84000055
525500,pine,2,0,Alive,Good,None,None,No,No,No,QN46,40.76435928,-73.76568954
528317,red pine,11,0,Alive,Good,None,None,No,No,No,QN42,40.74337228,-73.76549001
530799,Scots pine,18,0,Alive,Good,None,None,No,No,No,QN53,40.69502873,-73.86161009
531069,pine,8,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN21,40.71599199,-73.8831826
531414,white pine,34,0,Alive,Fair,StonesTrunkOther,StonesTrunkOther,Yes,No,No,QN45,40.76939289,-73.74167912
533012,white pine,5,0,Alive,Good,None,None,No,No,No,QN08,40.68906183,-73.75349139
533194,pitch pine,3,0,Alive,Good,None,None,No,No,No,SI54,40.5571818,-74.15322969
533992,black pine,5,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76958509,-73.84432455
534634,pine,6,0,Alive,Good,None,None,No,No,No,QN44,40.75369753,-73.71842215
535860,white pine,3,0,Alive,Good,None,None,No,No,No,BK17,40.60463526,-73.93030523
537693,pine,13,0,Alive,Good,None,None,No,No,No,QN51,40.76169027,-73.79922147
538996,white pine,13,0,Alive,Good,None,None,No,No,No,BK44,40.60491467,-73.94349124
539292,black pine,9,0,Alive,Good,None,None,No,No,No,QN66,40.67010034,-73.75284647
540679,white pine,15,0,Alive,Good,None,None,No,No,No,BK44,40.6049656,-73.94303077
541829,red pine,11,0,Alive,Good,None,None,No,No,No,QN51,40.76773104,-73.81340559
542297,pine,10,0,Alive,Good,None,None,No,No,No,QN55,40.66700413,-73.80617309
548220,white pine,20,0,Alive,Fair,RootOtherWiresRopeBranchLights,RootOtherWiresRopeBranchLights,No,No,Yes,SI24,40.59151082,-74.10790323
548540,red pine,11,0,Alive,Fair,None,None,No,No,No,QN03,40.66735885,-73.78177651
549457,white pine,7,0,Alive,Good,None,None,No,No,No,SI54,40.55446168,-74.15518778
549593,black pine,4,0,Alive,Good,None,None,No,No,No,QN37,40.7250806,-73.81658915
550087,pine,9,0,Alive,Good,None,None,No,No,No,QN55,40.66699529,-73.80594052
550099,red pine,3,0,Alive,Good,None,None,No,No,No,BK30,40.61463364,-74.02547713
551640,white pine,28,0,Alive,Good,Stones,Stones,Yes,No,No,QN45,40.77171464,-73.74273018
554485,red pine,13,0,Alive,Good,None,None,No,No,No,QN42,40.75407012,-73.75122967
556875,red pine,11,0,Alive,Good,None,None,No,No,No,QN72,40.77045709,-73.88877972
557251,black pine,5,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76958747,-73.84436414
560512,red pine,14,0,Alive,Good,None,None,No,No,No,QN27,40.76956655,-73.87532587
560880,pine,8,0,Alive,Good,None,None,No,No,No,SI48,40.54081041,-74.18749814
561132,white pine,13,0,Alive,Good,None,None,No,No,No,SI32,40.53399359,-74.20751562
562464,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.76019696,-73.72057845
565258,pine,13,0,Alive,Good,None,None,No,No,No,SI24,40.5883919,-74.15440534
565259,white pine,11,0,Alive,Fair,None,None,No,No,No,QN46,40.75237836,-73.76449979
565569,pine,6,0,Alive,Fair,None,None,No,No,No,QN45,40.75329458,-73.73757205
566193,white pine,25,0,Alive,Good,None,None,No,No,No,QN45,40.77112109,-73.74811858
566785,red pine,11,0,Alive,Good,None,None,No,No,No,BX07,40.861774,-73.86183433
567320,black pine,8,0,Alive,Good,None,None,No,No,No,QN34,40.71337244,-73.73164521
568903,Scots pine,14,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN63,40.74866746,-73.90891097
569794,white pine,16,0,Alive,Good,None,None,No,No,No,QN43,40.72975084,-73.74065714
571286,pine,5,0,Alive,Good,None,None,No,No,No,QN48,40.75948469,-73.78843884
571531,red pine,7,0,Alive,Good,BranchLights,BranchLights,No,No,No,SI08,40.61578713,-74.10283933
571835,pine,29,0,Alive,Fair,None,None,No,No,No,QN45,40.77229067,-73.74167995
572480,white pine,7,0,Alive,Good,None,None,No,No,No,SI22,40.63362599,-74.11787839
573287,pitch pine,8,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,MN20,40.74429253,-73.9769367
573397,red pine,10,0,Alive,Fair,None,None,No,No,No,BX52,40.83989965,-73.83158809
574480,pine,2,0,Alive,Good,None,None,No,No,No,QN76,40.67212259,-73.79979982
575403,pine,24,0,Alive,Good,StonesWiresRope,StonesWiresRope,Yes,No,No,QN06,40.71881007,-73.76588921
576667,red pine,1,0,Alive,Fair,None,None,No,No,No,SI22,40.62799128,-74.12381738
576862,red pine,10,0,Alive,Good,None,None,No,No,No,QN35,40.71547636,-73.81298196
577121,red pine,9,0,Alive,Good,RootOther,RootOther,No,No,Yes,BK58,40.62776997,-73.94123383
577182,pine,6,0,Alive,Good,None,None,No,No,No,QN10,40.57661873,-73.85717826
577773,red pine,13,0,Alive,Good,RootOther,RootOther,No,No,Yes,BK58,40.62950298,-73.94141579
578994,white pine,3,0,Alive,Good,None,None,No,No,No,SI36,40.59366342,-74.09389169
579775,pine,33,0,Alive,Fair,Stones,Stones,Yes,No,No,QN38,40.73437624,-73.80214105
579988,pine,3,0,Alive,Good,None,None,No,No,No,BK88,40.6393782,-73.9912755
581600,Scots pine,1,0,Alive,Good,None,None,No,No,No,QN20,40.70450596,-73.89156028
581952,pine,3,0,Alive,Good,None,None,No,No,No,SI07,40.61078945,-74.13681296
